Description of Emergency,Title of Emergency
FINLAND RD & GERYVILLE PIKE;  UPPER HANOVER; Station 369; 2015-12-11 @ 09:54:31;,EMS: GENERAL WEAKNESS
BEVERLY RD & FORREST AVE; ABINGTON; 2015-12-11 @ 09:53:22;,Traffic: VEHICLE ACCIDENT -
LIGHTCAP RD & SANATOGA SPRINGS DR;  LIMERICK; Station 324A; 2015-12-11 @ 09:58:14;,EMS: SEIZURES
RIDGE PIKE & MALAN DR; WHITEMARSH; 2015-12-11 @ 10:15:57;,Traffic: VEHICLE ACCIDENT -
OAK ST & BODEY ALY;  NORRISTOWN; Station 308A; 2015-12-11 @ 10:18:38;,EMS: RESPIRATORY EMERGENCY
HONEYSUCKLE LN & STRAWBERRY LN;  LOWER MERION; Station 313; 2015-12-11 @ 10:22:27;,EMS: CARDIAC EMERGENCY
BRIDGE ST;  UPPER PROVIDENCE; Station 3A85; 2015-12-11 @ 10:29:13;,EMS: VEHICLE ACCIDENT
WALLER DR & WELSH RD; LOWER MORELAND; 2015-12-11 @ 10:30:32;,Traffic: ROAD OBSTRUCTION -
BRIDGE ST & RR OVERPASS; UPPER PROVIDENCE; 2015-12-11 @ 10:33:12;,Traffic: VEHICLE ACCIDENT -
VALLEY FORGE CIR & OLD VALLEY FORGE RD;  UPPER MERION; Station 317; 2015-12-11 @ 10:34:58;,EMS: UNCONSCIOUS SUBJECT
VIOLET ST & E OAK ST; NORRISTOWN; 2015-12-11 @ 10:32:59-Station:STA27;,Fire: GAS-ODOR/LEAK
BRIDGE ST; UPPER PROVIDENCE; 2015-12-11 @ 10:37:33-Station:STA99;,Fire: VEHICLE ACCIDENT
BROAD ST & E 4TH ST;  LANSDALE; Station 345; 2015-12-11 @ 10:36:28;,EMS: CVA/STROKE
BLACK ROCK RD & ROCK CREEK RD; LOWER MERION; 2015-12-11 @ 10:38:51-Station:STA24;,Fire: FIRE INVESTIGATION
N BETHLEHEM PIKE & SPRINGWOOD LN; LOWER GWYNEDD; 2015-12-11 @ 10:39:19;,Traffic: VEHICLE ACCIDENT -
WARFIELD DR & BOBWHITE LN; LOWER MORELAND; 2015-12-11 @ 10:45:57;,Traffic: ROAD OBSTRUCTION -
VALLEY FORGE RD & STUMP HALL RD; WORCESTER; 2015-12-11 @ 10:44:35;,Traffic: VEHICLE ACCIDENT -
11TH AVE & SCHOOL ST;  COLLEGEVILLE; Station 324; 2015-12-11 @ 10:46:18;,EMS: FALL VICTIM
SUSQUEHANNA RD & RR CROSSING; ABINGTON; 2015-12-11 @ 10:47:46;,Traffic: DISABLED VEHICLE -
N VALLEY FORGE RD;  LANSDALE; Station 345; 2015-12-11 @ 10:55:49;,EMS: UNKNOWN MEDICAL EMERGENCY
EASTON RD & WGNAS MAIN GATE; HORSHAM; 2015-12-11 @ 10:48:52;,Traffic: DISABLED VEHICLE -
CHELTENHAM AVE & 79TH AVE; CHELTENHAM; 2015-12-11 @ 11:02:30;,Traffic: VEHICLE ACCIDENT -
RT202 PKWY & WELSH RD; UPPER GWYNEDD; 2015-12-11 @ 11:06:30;,Traffic: DISABLED VEHICLE -
MAIN ST & BUTTONWOOD ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 11:20:38;,EMS: SYNCOPAL EPISODE
CHARLOTTE ST & SCHOOL RD; LOWER POTTSGROVE; 2015-12-11 @ 11:21:46-Station:STA59;,Fire: FIRE ALARM
WALNUT AVE & ORELAND MILL RD;  SPRINGFIELD; Station 311; 2015-12-11 @ 11:21:11;,EMS: SYNCOPAL EPISODE
HUNTINGDON PIKE & CALVIN RD;  LOWER MORELAND; Station 355; 2015-12-11 @ 11:34:58;,EMS: HEMORRHAGING
MAPLEHILL RD & DEAD END; LOWER MERION; 2015-12-11 @ 11:31:42-Station:STA24;,Fire: FIRE ALARM
RIDGE PIKE & SUMMIT AVE; LOWER PROVIDENCE; 2015-12-11 @ 11:35:44-Station:STA53;,Fire: FIRE ALARM
EASTON RD & SPRINGHOUSE LN; CHELTENHAM; 2015-12-11 @ 11:35:17;,Traffic: VEHICLE ACCIDENT -
SUMMIT ST & COLONIAL AVE;  FRANCONIA; Station 339; 2015-12-11 @ 11:37:54;,EMS: RESPIRATORY EMERGENCY
LAFAYETTE AVE & LAFAYETTE AVE CONNECTOR; WHITEMARSH; 2015-12-11 @ 11:39:06-Station:STA29;,Fire: FIRE ALARM
KIRK ST & BUTLER PIKE;  PLYMOUTH; Station 308; 2015-12-11 @ 11:42:54;,EMS: FALL VICTIM
BLACK ROCK RD & S TRAPPE RD;  UPPER PROVIDENCE; Station 325; 2015-12-11 @ 11:51:50;,EMS: FEVER
DEKALB PIKE & MORRIS RD; WHITPAIN; 2015-12-11 @ 11:53:55;,Traffic: VEHICLE ACCIDENT -
BETHLEHEM PIKE & NORTH WALES RD; MONTGOMERY; 2015-12-11 @ 11:58:38;,Traffic: ROAD OBSTRUCTION -
GERMANTOWN PIKE & N PARK AVE; WORCESTER; 2015-12-11 @ 12:01:32;,Traffic: VEHICLE ACCIDENT -
MORELAND RD & EASTON RD; ABINGTON; 2015-12-11 @ 12:02:22;,Traffic: DISABLED VEHICLE -
FAYETTE ST & E 9TH AVE;  CONSHOHOCKEN; Station 313A; 2015-12-11 @ 12:09:09;,EMS: SYNCOPAL EPISODE
COWPATH RD & W RELIANCE RD;  FRANCONIA; Station 339; 2015-12-11 @ 12:15:05;,EMS: SEIZURES
KESWICK AVE & E WAVERLY RD;  CHELTENHAM; Station 358A; 2015-12-11 @ 12:18:27;,EMS: HEAD INJURY
KESWICK AVE & NEW ST;  CHELTENHAM; Station 358A; 2015-12-11 @ 12:18:27;,EMS: HEAD INJURY
GERMANTOWN PIKE & N PARK AVE; WORCESTER; 2015-12-11 @ 12:31:17;,Traffic: VEHICLE ACCIDENT -
JOHNSON HWY & COLES BLVD; NORRISTOWN; 2015-12-11 @ 12:34:36-Station:STA27;,Fire: ELECTRICAL FIRE OUTSIDE
BROAD ST & W MORELAND AVE;  HATBORO; Station 384; 2015-12-11 @ 12:32:51;,EMS: FALL VICTIM
CHARIOT LN & EAGLE STREAM DR;  LOWER PROVIDENCE; Station 322; 2015-12-11 @ 12:33:41;,EMS: HEMORRHAGING
DAVISVILLE RD & PENNYPACK RD;  UPPER MORELAND; Station 381; 2015-12-11 @ 12:31:54;,EMS: UNRESPONSIVE SUBJECT
CHESTNUT ST & N WASHINGTON ST;  POTTSTOWN; Station 329; 2015-12-11 @ 12:31:17;,EMS: BACK PAINS/INJURY
GERMANTOWN PIKE & VALLEY FORGE RD; WORCESTER; 2015-12-11 @ 12:31:17;,Traffic: VEHICLE ACCIDENT -
SHOEMAKER RD & ROBINSON ST;  POTTSTOWN; Station 329; 2015-12-11 @ 12:40:09;,EMS: HEAD INJURY
JOHNSON HWY & PINE ST; NORRISTOWN; 2015-12-11 @ 12:34:36-Station:STA27;,Fire: ELECTRICAL FIRE OUTSIDE
WELSH RD;  LOWER MORELAND; Station 355; 2015-12-11 @ 12:42:03;,EMS: UNKNOWN MEDICAL EMERGENCY
OLD YORK RD & HARTE RD; ABINGTON; 2015-12-11 @ 12:41:54;,Traffic: VEHICLE ACCIDENT -
HUNTINGDON PIKE & CATHEDRAL RD;  BRYN ATHYN; Station 355; 2015-12-11 @ 12:44:32;,EMS: SYNCOPAL EPISODE
DEKALB ST & E ELM ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 12:50:16;,EMS: RESPIRATORY EMERGENCY
PIERCE AVE & RESERVOIR AVE;  ABINGTON; Station 381; 2015-12-11 @ 12:51:24;,EMS: ABDOMINAL PAINS
HUNTINGDON PIKE & WYNKOOP AVE;  LOWER MORELAND; Station 355; 2015-12-11 @ 12:54:38;,EMS: RESPIRATORY EMERGENCY
FLOURTOWN RD & RR OVERPASS; WHITEMARSH; 2015-12-11 @ 12:52:47;,Traffic: VEHICLE ACCIDENT -
FLOURTOWN RD; WHITEMARSH; 2015-12-11 @ 12:56:53-Station:STA29;,Fire: VEHICLE ACCIDENT
MORGAN HILL DR & HAYWARD AVE;  UPPER HANOVER; Station 369; 2015-12-11 @ 13:00:38;,EMS: ALLERGIC REACTION
SUMMIT ST & COLONIAL AVE;  FRANCONIA; Station 339; 2015-12-11 @ 12:57:49;,EMS: DIZZINESS
MAIN ST & S MITCHELL AVE;  LANSDALE; Station 345B; 2015-12-11 @ 13:01:10;,EMS: HEAD INJURY
WESTHAMPTON WAY & TROXEL RD;  TOWAMENCIN; Station 345B; 2015-12-11 @ 13:01:51;,EMS: MEDICAL ALERT ALARM
E WOOD ST & POWELL ST; NORRISTOWN; 2015-12-11 @ 13:01:01;,Traffic: VEHICLE ACCIDENT -
WYNDMOOR CIR & DEAD END; ABINGTON; 2015-12-11 @ 13:04:21-Station:STA200;,Fire: FIRE ALARM
GERMANTOWN PIKE & RR CROSSING;  EAST NORRITON; Station 308B; 2015-12-11 @ 13:05:12;,EMS: HEAD INJURY
GARTH RD & GOLF RD;  SPRINGFIELD; Station 311; 2015-12-11 @ 13:02:34;,EMS: LACERATIONS
SYCAMORE LN & STONEY CREEK RD;  EAST NORRITON; Station 308; 2015-12-11 @ 13:17:41;,EMS: UNCONSCIOUS SUBJECT
WISSAHICKON AVE & ROSE LN;  SPRINGFIELD; Station 311; 2015-12-11 @ 13:16:51;,EMS: CVA/STROKE
BELMONT AVE & ST ASAPHS RD;  LOWER MERION; Station 313; 2015-12-11 @ 13:21:15;,EMS: FALL VICTIM
KEIM ST & W MEADOWBROOK RD;  CHESTER COUNTY; Station 3A84; 2015-12-11 @ 13:23:38;,EMS: FALL VICTIM
FORNANCE ST & LOCUST ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 13:30:33;,EMS: SUBJECT IN PAIN
1ST AVE & FREEDOM DR;  UPPER MERION; Station 317; 2015-12-11 @ 13:26:32;,EMS: HEAD INJURY
BEDFORD PL & E WYNNEWOOD RD; LOWER MERION; 2015-12-11 @ 13:28:36;,Traffic: VEHICLE ACCIDENT -
RIDGE PIKE & KLINE RD; UPPER PROVIDENCE; 2015-12-11 @ 13:30:18;,Traffic: VEHICLE ACCIDENT -
HIGH ST & S EVANS ST;  POTTSTOWN; Station 329; 2015-12-11 @ 13:31:54;,EMS: SUBJECT IN PAIN
FOX ST;  ROCKLEDGE; Station 382; 2015-12-11 @ 13:32:30;,EMS: UNCONSCIOUS SUBJECT
DAVISVILLE RD & BYBERRY RD; UPPER MORELAND; 2015-12-11 @ 13:34:52;,Traffic: VEHICLE ACCIDENT -
PERKIOMEN AVE & 3RD ST;  SCHWENKSVILLE; Station 331; 2015-12-11 @ 13:48:20;,EMS: HEAD INJURY
CORY DR & PINETREE PL;  UPPER DUBLIN; Station 351; 2015-12-11 @ 13:47:50;,EMS: SUBJECT IN PAIN
GERMANTOWN PIKE & ATRIUM WAY;  PLYMOUTH; Station 308; 2015-12-11 @ 13:49:01;,EMS: SUBJECT IN PAIN
FRANKLIN CT & MADISON CT;  LIMERICK; Station 324A; 2015-12-11 @ 13:47:21;,EMS: GENERAL WEAKNESS
SHOEMAKER RD & ROBINSON ST;  POTTSTOWN; Station 329; 2015-12-11 @ 14:00:57;,EMS: UNCONSCIOUS SUBJECT
SCHUYLKILL RD & RAMP RT724 TO RT100 SB; CHESTER COUNTY; 2015-12-11 @ 13:57:14;,Traffic: VEHICLE LEAKING FUEL -
CHEMICAL RD & GALLAGHER RD; PLYMOUTH; 2015-12-11 @ 14:06:20-Station:STA43;,Fire: FIRE ALARM
HIGH ST & S PARK RD;  LOWER POTTSGROVE; Station 329; 2015-12-11 @ 14:10:08;,EMS: MEDICAL ALERT ALARM
VILLAGE AVE & WISTERIA WAY;  SKIPPACK; Station 336; 2015-12-11 @ 14:14:19;,EMS: RESPIRATORY EMERGENCY
CHURCH RD & MAIN ST; LIMERICK; 2015-12-11 @ 14:15:52;,Traffic: VEHICLE ACCIDENT -
E 14TH AVE & HALLOWELL ST; WHITEMARSH; 2015-12-11 @ 14:16:26;,Traffic: VEHICLE ACCIDENT -
4TH ST & HOLSTEIN ST;  BRIDGEPORT; Station 317; 2015-12-11 @ 14:19:32;,EMS: CARDIAC EMERGENCY
IRON BRIDGE DR & RAHNS RD;  PERKIOMEN; Station 324; 2015-12-11 @ 14:20:00;,EMS: CARDIAC EMERGENCY
JAMES ST & SELMA ST; NORRISTOWN; 2015-12-11 @ 14:16:25-Station:STA27;,Fire: BUILDING FIRE
FAYETTE ST & W 10TH AVE; CONSHOHOCKEN; 2015-12-11 @ 14:19:13;,Traffic: ROAD OBSTRUCTION -
SUMNEYTOWN PIKE & STONEBRIDGE RD;  LOWER GWYNEDD; Station 351; 2015-12-11 @ 14:23:00;,EMS: NAUSEA/VOMITING
BROAD ST & E 6TH ST;  LANSDALE; Station 345; 2015-12-11 @ 14:28:53;,EMS: FALL VICTIM
STENTON AVE & E EVERGREEN AVE;  SPRINGFIELD; Station 311; 2015-12-11 @ 14:35:36;,EMS: CARDIAC EMERGENCY
SAVORY LN & REGENCY DR;  MONTGOMERY; Station 345A; 2015-12-11 @ 14:32:50;,EMS: CVA/STROKE
RICES MILL RD & PANTHER RD; CHELTENHAM; 2015-12-11 @ 14:32:55;,Traffic: DISABLED VEHICLE -
W AIRY ST & HAMILTON ST; NORRISTOWN; 2015-12-11 @ 14:32:51;,Traffic: VEHICLE ACCIDENT -
MAIN ST & GEORGE ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 14:38:19;,EMS: ABDOMINAL PAINS
CITY AVE & HOLLINGSWORTH RD;  LOWER MERION; Station 313; 2015-12-11 @ 14:42:11;,EMS: SYNCOPAL EPISODE
NEW HOPE ST & CEDAR LN;  NORRISTOWN; Station 308A; 2015-12-11 @ 14:47:51;,EMS: GENERAL WEAKNESS
PENN RD & FAIRFIELD RD;  PLYMOUTH; Station 308; 2015-12-11 @ 14:46:58;,EMS: RESPIRATORY EMERGENCY
TWIN SILO DR & MORRIS RD;  WHITPAIN; Station 385; 2015-12-11 @ 14:52:41;,EMS: FALL VICTIM
RAMP RT309 SB TO RT73 & CHURCH RD; SPRINGFIELD; 2015-12-11 @ 14:55:05;,Traffic: DISABLED VEHICLE -
MORELAND RD & RR CROSSING; ABINGTON; 2015-12-11 @ 14:57:02-Station:STA500;,Fire: FIRE ALARM
COVENTRY AVE & NEW SECOND ST; CHELTENHAM; 2015-12-11 @ 15:00:07;,Traffic: VEHICLE ACCIDENT -
EGYPT RD & WEDGEWOOD WAY;  LOWER PROVIDENCE; Station 322A; 2015-12-11 @ 15:02:20;,EMS: NAUSEA/VOMITING
MT CARMEL AVE & STATION AVE; ABINGTON; 2015-12-11 @ 15:05:06-Station:STA400;,Fire: FIRE ALARM
MAIN ST & CHURCH RD; LIMERICK; 2015-12-11 @ 15:05:05;,Traffic: VEHICLE ACCIDENT -
HUNTINGDON PIKE & MOREDON RD;  ABINGTON; Station 382; 2015-12-11 @ 15:07:45;,EMS: FALL VICTIM
HECTOR ST & LEE ST; WHITEMARSH; 2015-12-11 @ 15:08:24-Station:STA45;,Fire: FIRE ALARM
MAIN ST & CENTRAL AVE; SOUDERTON; 2015-12-11 @ 15:09:15-Station:STA74;,Fire: GAS-ODOR/LEAK
BETHLEHEM PIKE & E WISSAHICKON AVE; SPRINGFIELD; 2015-12-11 @ 15:12:51-Station:STA6;,Fire: FIRE ALARM
PHILMONT AVE & TOMLINSON RD; LOWER MORELAND; 2015-12-11 @ 15:20:29;,Traffic: VEHICLE ACCIDENT -
MAIN ST & CENTRAL AVE;  SOUDERTON; Station 339; 2015-12-11 @ 15:26:05;,EMS: DIZZINESS
BERKLEY RD & VARNUM RD; WEST NORRITON; 2015-12-11 @ 15:26:34-Station:STA46;,Fire: FIRE ALARM
OLD YORK RD & PARKVIEW AVE; ABINGTON; 2015-12-11 @ 15:29:22;,Traffic: VEHICLE ACCIDENT -
GERMANTOWN PIKE & LAUNFALL RD;  PLYMOUTH; Station 308; 2015-12-11 @ 15:32:09;,EMS: SYNCOPAL EPISODE
MARSHALL ST & N MONTGOMERY AVE; WEST NORRITON; 2015-12-11 @ 15:30:40;,Traffic: DISABLED VEHICLE -
SCHUYLKILL EXPY & RR OVERPASS; UPPER MERION; 2015-12-11 @ 15:41:06;,Traffic: VEHICLE ACCIDENT -
RT309 EXPY & S EASTON RD OVERPASS; CHELTENHAM; 2015-12-11 @ 15:45:58;,Traffic: DISABLED VEHICLE -
HORSHAM RD & DRESHER RD; HORSHAM; 2015-12-11 @ 15:42:03;,Traffic: ROAD OBSTRUCTION -
UPLAND SQUARE DR & RT100 SB; UPPER POTTSGROVE; 2015-12-11 @ 15:45:01;,Traffic: VEHICLE ACCIDENT -
RT309 EXPY & S EASTON RD OVERPASS; CHELTENHAM; 2015-12-11 @ 15:47:46;,Traffic: DISABLED VEHICLE -
BRIDGE ST & TOWPATH; UPPER PROVIDENCE; 2015-12-11 @ 15:48:02;,Traffic: VEHICLE ACCIDENT -
HIGH RD & VALLEY VIEW DR;  LOWER MORELAND; Station 355; 2015-12-11 @ 15:46:34;,EMS: FALL VICTIM
HARLEYSVILLE PIKE;  SOUDERTON; Station 339; 2015-12-11 @ 15:48:50;,EMS: VEHICLE ACCIDENT
HARLEYSVILLE PIKE; SOUDERTON; 2015-12-11 @ 15:48:36-Station:STA74;,Fire: VEHICLE ACCIDENT
SUMNEYTOWN PIKE & DICKERSON RD; UPPER GWYNEDD; 2015-12-11 @ 15:47:10;,Traffic: DISABLED VEHICLE -
HARLEYSVILLE PIKE & E RELIANCE RD; SOUDERTON; 2015-12-11 @ 15:49:16;,Traffic: VEHICLE ACCIDENT -
MONTGOMERY AVE & AIRDALE RD;  LOWER MERION; Station 313; 2015-12-11 @ 15:55:15;,EMS: FRACTURE
CHAIN ST & W BLACKBERRY ALY;  NORRISTOWN; Station 308A; 2015-12-11 @ 15:53:38;,EMS: RESPIRATORY EMERGENCY
MAIN ST & MAPLE AVE;  LOWER SALFORD; Station 344; 2015-12-11 @ 15:59:50;,EMS: ABDOMINAL PAINS
EVERGREEN RD & WILLOWBROOK RD;  HORSHAM; Station 352; 2015-12-11 @ 16:04:10;,EMS: HEMORRHAGING
WELSH RD & CARLSON DR;  UPPER DUBLIN; Station 381; 2015-12-11 @ 16:02:18;,EMS: VEHICLE ACCIDENT
EGYPT RD & WEDGEWOOD WAY; LOWER PROVIDENCE; 2015-12-11 @ 16:03:32;,Traffic: VEHICLE ACCIDENT -
WELSH RD & CARLSON DR; UPPER DUBLIN; 2015-12-11 @ 16:05:23;,Traffic: VEHICLE ACCIDENT -
COWPATH RD & PINE ST; HATFIELD TOWNSHIP; 2015-12-11 @ 16:02:11;,Traffic: VEHICLE ACCIDENT -
MCKEAN RD & RT309 OVERPASS; LOWER GWYNEDD; 2015-12-11 @ 16:06:19-Station:STA7;,Fire: BURN VICTIM
MCKEAN RD & RT309 OVERPASS;  LOWER GWYNEDD; Station 351; 2015-12-11 @ 16:06:11;,EMS: BURN VICTIM
W CHURCH RD;  CHELTENHAM; Station 358; 2015-12-11 @ 16:10:26;,EMS: VEHICLE ACCIDENT
W CHURCH RD & WASHINGTON LN; CHELTENHAM; 2015-12-11 @ 16:10:41;,Traffic: VEHICLE ACCIDENT -
GERMANTOWN PIKE & FAIRWAY RD; WHITEMARSH; 2015-12-11 @ 16:09:35;,Traffic: VEHICLE ACCIDENT -
W CHURCH RD; CHELTENHAM; 2015-12-11 @ 16:11:49-Station:STA5;,Fire: VEHICLE ACCIDENT
MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-11 @ 16:19:06;,EMS: FALL VICTIM
MAIN ST & LIBERTY AVE; WEST NORRITON; 2015-12-11 @ 16:18:30-Station:STA46;,Fire: FIRE INVESTIGATION
WELSH RD & COMPUTER AVE; UPPER MORELAND; 2015-12-11 @ 16:20:53;,Traffic: VEHICLE ACCIDENT -
WELSH RD & COMPUTER AVE; UPPER MORELAND; 2015-12-11 @ 16:19:00;,Traffic: VEHICLE ACCIDENT -
LANCASTER AVE & WATER ST; LOWER MERION; 2015-12-11 @ 16:30:17;,Traffic: DISABLED VEHICLE -
EVANSBROOKE LN & LIMERICK CENTER RD;  LIMERICK; Station 324A; 2015-12-11 @ 16:35:30;,EMS: MEDICAL ALERT ALARM
ARBOUR GREEN CIR & CLOVER LEAF LN; MONTGOMERY; 2015-12-11 @ 16:32:13-Station:STA18;,Fire: RESCUE - GENERAL
GERYVILLE PIKE & WOODRIDGE DR; MARLBOROUGH; 2015-12-11 @ 16:33:38-Station:STA42;,Fire: WOODS/FIELD FIRE
ARBOUR GREEN CIR & CLOVER LEAF LN;  MONTGOMERY; Station 345A; 2015-12-11 @ 16:32:27;,EMS: RESCUE - GENERAL
NEWBURY WAY & DEAD END;  TOWAMENCIN; Station 345B; 2015-12-11 @ 16:40:08;,EMS: MEDICAL ALERT ALARM
SKYLINE DR & BETTIE LN;  LOWER PROVIDENCE; Station 322A; 2015-12-11 @ 16:44:11;,EMS: ALTERED MENTAL STATUS
OLD GULPH RD & MCCLENAGHAN MILL RD; LOWER MERION; 2015-12-11 @ 16:48:28-Station:STA26;,Fire: FIRE ALARM
PRINCE ST; POTTSTOWN; 2015-12-11 @ 16:49:49-Station:STA69;,Fire: WOODS/FIELD FIRE
JENKINTOWN RD & ABINGTON AVE;  ABINGTON; Station 383; 2015-12-11 @ 16:47:33;,EMS: BACK PAINS/INJURY
2ND AVE & STINE DR;  COLLEGEVILLE; Station 324; 2015-12-11 @ 16:57:46;,EMS: DIABETIC EMERGENCY
ARDMORE AVE & W ATHENS AVE;  LOWER MERION; Station 313; 2015-12-11 @ 16:58:15;,EMS: DIABETIC EMERGENCY
GERMANTOWN PIKE & BRIDLE PATH RD;  EAST NORRITON; Station 308B; 2015-12-11 @ 17:03:37;,EMS: OVERDOSE
CHERRY LN;  SOUDERTON; Station 339; 2015-12-11 @ 17:02:29;,EMS: VEHICLE ACCIDENT
CHERRY LN; SOUDERTON; 2015-12-11 @ 17:02:43-Station:STA74;,Fire: VEHICLE ACCIDENT
CHERRY LN & S COUNTY LINE RD; SOUDERTON; 2015-12-11 @ 17:02:41;,Traffic: VEHICLE ACCIDENT -
HARLEYSVILLE PIKE & E RELIANCE RD; SOUDERTON; 2015-12-11 @ 17:10:47;,Traffic: VEHICLE ACCIDENT -
HAGYS FORD RD & CHERMAR LN;  LOWER MERION; Station 313; 2015-12-11 @ 17:07:52;,EMS: FALL VICTIM
BLUEROUTE  & BALLIGOMINGO RD UNDERPASS; WEST CONSHOHOCKEN; 2015-12-11 @ 17:14:58;,Traffic: DISABLED VEHICLE -
TROOPER RD & SPRING HILL RD; WORCESTER; 2015-12-11 @ 17:14:55;,Traffic: ROAD OBSTRUCTION -
MALL BLVD & GODDARD BLVD; UPPER MERION; 2015-12-11 @ 17:11:53;,Traffic: VEHICLE ACCIDENT -
LLANFAIR RD & E MONTGOMERY AVE; LOWER MERION; 2015-12-11 @ 17:13:14;,Traffic: DISABLED VEHICLE -
LOUISE LN & DEAD END; UPPER GWYNEDD; 2015-12-11 @ 17:16:21-Station:STA80;,Fire: FIRE ALARM
LOGAN ST & MARKLEY ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 17:19:10;,EMS: CARDIAC EMERGENCY
VALLEY GLEN RD & GLEN WAY;  ABINGTON; Station 382; 2015-12-11 @ 17:17:08;,EMS: FEVER
N TROOPER RD; WORCESTER; 2015-12-11 @ 17:25:40-Station:STA83;,Fire: FIRE SPECIAL SERVICE
PENNSYLVANIA AVE & CAMP HILL RD; SPRINGFIELD; 2015-12-11 @ 17:25:18;,Traffic: DISABLED VEHICLE -
SCHUYLKILL EXPY & RT202 OVERPASS; UPPER MERION; 2015-12-11 @ 17:24:30;,Traffic: DISABLED VEHICLE -
WELSH RD & N LIMEKILN PIKE; UPPER DUBLIN; 2015-12-11 @ 17:25:24;,Traffic: VEHICLE ACCIDENT -
RT422 BYP WB & RT100 UNDERPASS; CHESTER COUNTY; 2015-12-11 @ 17:26:23;,Traffic: VEHICLE ACCIDENT -
JACOBY ST & CHURCH ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 17:26:28;,EMS: UNKNOWN MEDICAL EMERGENCY
WELSH RD & NORRISTOWN RD; HORSHAM; 2015-12-11 @ 17:25:24;,Traffic: VEHICLE ACCIDENT -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-11 @ 17:31:04;,EMS: FALL VICTIM
MONTGOMERY AVE & OLD GULPH RD; LOWER MERION; 2015-12-11 @ 17:32:42;,Traffic: VEHICLE ACCIDENT -
MOYER RD & WIMBLEDON LN;  HATFIELD TOWNSHIP; Station 345; 2015-12-11 @ 17:38:47;,EMS: CARDIAC EMERGENCY
PEMBERTON RD & STENTON AVE;  WHITPAIN; Station 385; 2015-12-11 @ 17:37:59;,EMS: SEIZURES
SMITH ST & E OAK ST;  NORRISTOWN; Station 308A; 2015-12-11 @ 17:45:21;,EMS: ASSAULT VICTIM
PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; Station 385; 2015-12-11 @ 17:43:01;,EMS: HEAD INJURY
N TOWNSHIP LINE RD & MAYBERRY RD; PERKIOMEN; 2015-12-11 @ 17:44:16;,Traffic: DISABLED VEHICLE -
MT CARMEL AVE & NORTH HILLS AVE; ABINGTON; 2015-12-11 @ 17:44:51;,Traffic: VEHICLE ACCIDENT -
DAVISVILLE RD & E COUNTY LINE RD; UPPER MORELAND; 2015-12-11 @ 17:44:56;,Traffic: VEHICLE ACCIDENT -
WELSH RD & N LIMEKILN PIKE; HORSHAM; 2015-12-11 @ 17:43:46;,Traffic: VEHICLE ACCIDENT -
WELSH RD;  HORSHAM; Station 352; 2015-12-11 @ 17:46:06;,EMS: VEHICLE ACCIDENT
RT422 BYP WB & RAMP RT100 SB TO RT422 WB; CHESTER COUNTY; 2015-12-11 @ 17:46:40;,Traffic: VEHICLE ACCIDENT -
N TOWNSHIP LINE RD & GRATERFORD RD; LIMERICK; 2015-12-11 @ 17:44:16;,Traffic: DISABLED VEHICLE -
RT422 BYP WB;  CHESTER COUNTY; Station 3A84; 2015-12-11 @ 17:57:03;,EMS: VEHICLE ACCIDENT
OLD YORK RD & SPRING AVE; CHELTENHAM; 2015-12-11 @ 17:56:02-Station:STA5;,Fire: FIRE ALARM
FRANKLIN ST & WILSON ST;  POTTSTOWN; Station 329; 2015-12-11 @ 17:59:47;,EMS: UNRESPONSIVE SUBJECT
FILLY DR & POLO DR; MONTGOMERY; 2015-12-11 @ 17:58:29-Station:STA18;,Fire: BUILDING FIRE
W WELSH RD; LOWER GWYNEDD; 2015-12-11 @ 18:00:39-Station:STA62;,Fire: VEHICLE FIRE
RT422 BYP & RAMP RT422 WB TO RT100 NB;  CHESTER COUNTY; Station 3A84; 2015-12-11 @ 17:57:03;,EMS: VEHICLE ACCIDENT
RT422 BYP & RAMP RT422 WB TO RT100 NB; CHESTER COUNTY; 2015-12-11 @ 17:46:40;,Traffic: VEHICLE ACCIDENT -
W WELSH RD & EVANS RD; LOWER GWYNEDD; 2015-12-11 @ 18:00:55;,Traffic: VEHICLE FIRE -
LEWIS RD & SAND TRAP DR; LIMERICK; 2015-12-11 @ 18:01:27-Station:STA54;,Fire: FIRE ALARM
COLONIAL DR & MEADOW LN; LOWER FREDERICK; 2015-12-11 @ 18:05:22;,Traffic: VEHICLE ACCIDENT -
MONTGOMERY AVE & KENT RD; LOWER MERION; 2015-12-11 @ 18:02:14;,Traffic: VEHICLE ACCIDENT -
ROBINSON ST & SHOEMAKER RD;  POTTSTOWN; Station 329; 2015-12-11 @ 18:04:59;,EMS: WARRANT SERVICE
